Model,Max Depth,Min Samples Leaf,Min Samples Split,Accuracy,F1 Score,True Positive Rate (TPR),False Positive Rate (FPR)
Model 1,10,10,2,0.9400845532990444,0.9690338079379895,0.9399491600734459,0.008603460418371815
Model 2,10,1,20,0.9999866755269403,0.9999933202289283,1.0,0.005063098387802882
Model 3,20,5,0,0.9999732508698727,0.9999865903134854,0.9999991964131499,0.009859717913089823
